record_id,skill_id,decision,parent_record_id,parent_version,new_version,strategy,trigger,score,created_at,cost_tokens,cost_ms,change_summary
evt-20260814233205996618-33426416,demo-cache-tuner,committed,,1.0.0,1.0.1,combine,manual,,2026-08-14T23:32:05,0,0.52,"离线进化: strategy=combine, improvement=0.0410, parent=首代"
evt-20260814233206003601-b579fec7,demo-cache-tuner,committed,evt-20260814233205996618-33426416,1.0.0,1.0.2,combine,manual,,2026-08-14T23:32:06,0,0.0,"离线进化: strategy=combine, improvement=0.0410, parent=evt-20260814233205996618-3342"
evt-20260814233206008173-df22d5dc,demo-cache-tuner,committed,evt-20260814233205996618-33426416,1.0.0,1.0.3,combine,manual,,2026-08-14T23:32:06,0,0.0,"离线进化: strategy=combine, improvement=0.0410, parent=evt-20260814233205996618-3342"
evt-20260814233206013790-993f2cbf,demo-search-optimize,committed,,1.0.0,1.0.1,combine,manual,,2026-08-14T23:32:06,0,0.0,"离线进化: strategy=combine, improvement=0.0395, parent=首代"
evt-20260814233206019577-8b0c7c34,demo-search-optimize,committed,evt-20260814233206013790-993f2cbf,1.0.0,1.0.2,fine_tune,manual,,2026-08-14T23:32:06,0,0.0,"离线进化: strategy=fine_tune, improvement=0.0362, parent=evt-20260814233206013790-99"
evt-20260814233206027717-f5d0c39e,demo-search-optimize,committed,evt-20260814233206019577-8b0c7c34,1.0.0,1.0.3,reset,manual,,2026-08-14T23:32:06,0,2.01,"离线进化: strategy=reset, improvement=0.0395, parent=evt-20260814233206019577-8b0c7c"
evt-20260814233218642954-dadbef2e,demo-cache-tuner,committed,evt-20260814233205996618-33426416,1.0.0,1.0.1,combine,manual,,2026-08-14T23:32:18,0,2.0,"离线进化: strategy=combine, improvement=0.0410, parent=evt-20260814233205996618-3342"
evt-20260814233218649744-e377f522,demo-cache-tuner,committed,evt-20260814233206003601-b579fec7,1.0.0,1.0.2,combine,manual,,2026-08-14T23:32:18,0,1.0,"离线进化: strategy=combine, improvement=0.0410, parent=evt-20260814233206003601-b579"
evt-20260814233218655416-3ab85337,demo-cache-tuner,committed,evt-20260814233205996618-33426416,1.0.0,1.0.3,combine,manual,,2026-08-14T23:32:18,0,1.54,"离线进化: strategy=combine, improvement=0.0410, parent=evt-20260814233205996618-3342"
evt-20260814233218661865-2cdec0ee,demo-search-optimize,committed,evt-20260814233206013790-993f2cbf,1.0.0,1.0.1,combine,manual,,2026-08-14T23:32:18,0,0.0,"离线进化: strategy=combine, improvement=0.0395, parent=evt-20260814233206013790-993f"
evt-20260814233218665826-88814a78,demo-search-optimize,committed,evt-20260814233218661865-2cdec0ee,1.0.0,1.0.2,fine_tune,manual,,2026-08-14T23:32:18,0,0.0,"离线进化: strategy=fine_tune, improvement=0.0362, parent=evt-20260814233218661865-2c"
evt-20260814233218673540-0b12990a,demo-search-optimize,committed,evt-20260814233218665826-88814a78,1.0.0,1.0.3,reset,manual,,2026-08-14T23:32:18,0,1.0,"离线进化: strategy=reset, improvement=0.0395, parent=evt-20260814233218665826-88814a"
