# PRE_TASK09 审计数据备份 — SHA256 清单
# 备份时刻（本机 +08:00）：2026-09-21 19:2x
# 备份源：C:\Users\Administrator\agent\data\audit\
# 备份目的：C:\Users\Administrator\agent\docs\closeout\L1_evidence\PRE_TASK09_backup_20260921\
# 生成方式：Get-FileHash -Algorithm SHA256
#
# 格式：SHA256  BYTES  MTIME(ISO8601+08:00)  NAME
9948B8B6D11BCC3FDFFC6CEABCECBE4B73E02B1936A4AA3570FAC4222C1A7F71  233  2026-09-13T03:12:26.6534673+08:00  audit_20260913.jsonl
9C59ADF455342DDB20C5861A3B35C4F10FB9BA22BDE18F146F722F7635FF3C87  466  2026-09-17T00:01:34.0363409+08:00  audit_20260916.jsonl
6D68F5A5F146B51BDD6ABD616696271DEB041420231FC42B937C9ACDF7C976EE  1398  2026-09-17T22:53:27.9442658+08:00  audit_20260917.jsonl
6C1EBA89BED78EA236848072E698CF82F61FCE2DB715AAE15B0314A5F4BB3997  1398  2026-09-18T21:10:39.7200971+08:00  audit_20260918.jsonl
83CAB59BE5BE7A3F0111C628BE8BE8ED7870A68344675BA61A66020CFF8F5ED6  4194  2026-09-19T23:55:07.7577644+08:00  audit_20260919.jsonl
EED80EC5534C33E4495C24994597CFDDF3EA8A2F52F73BBA6F11C64EB21E69B2  2563  2026-09-20T21:09:34.6108805+08:00  audit_20260920.jsonl
40A120AB83718CB4B6ED88F900E51B84D656F9F1FCCF4B0077AB89D1406AC6FA  1165  2026-09-21T03:51:41.4026139+08:00  audit_20260921.jsonl
AAC795AAA1997703AB7B203B7F2E16872863A47A334B8D561D058B28B36D5CD2  233  2026-09-14T20:26:48.0239809+08:00  audit_20271019.jsonl
8414E18B497DEE80DF41AEDB91EBCA23EC08ACDBB1638D056B8ED4C93E1EF85E  17178624  2026-09-21T19:17:04.0170498+08:00  audit_chain.db
43C03331421C9ECB603A78CE73DFAE7B6FE3DCBBAECBF4273012869148EE23BA  1025  2026-09-21T18:57:22.7662611+08:00  audit_chain.db.lock
8F65DEB694143CEE0F0CAE129176CB98257FC53DC010290D76578146557B8192  15678112  2026-09-21T18:57:22.7662611+08:00  audit_chain.db.seqjournal
CA751F366BB3A8477E32409431D63FB57FCF794F31A8FCD9BFA3ED3F1E04F128  119  2026-09-14T08:00:01.5829660+08:00  audit_signing_key.pem
9FCD4B3208869ABCD47D885BAEA2B867040A441E4C2F6329B0EC6DA74AB76226  5392  2026-09-21T03:59:40.1158318+08:00  daily_roots.jsonl

# ── 与既有 MANIFEST.json 的交叉核对（D7：附证据） ──
# data/audit/audit_chain.db        8414E18B…  ≠ MANIFEST.post_repair AE8ED621…
#   → 修复（03:59:39）之后链上仍有新写入（本机 mtime 19:17:04），故哈希已前进，属 append-only 预期行为。
# data/audit/daily_roots.jsonl     9FCD4B32…  == MANIFEST.post_repair 9FCD4B32…  ✅ 未被再次改动
# data/audit/audit_signing_key.pem CA751F36…  == MANIFEST.post_repair CA751F36…  ✅ 未被改动（同一密钥）
# _ci_logs/audit_backup_20260921_035434/daily_roots.jsonl 3A776CB9… == MANIFEST.pre_repair 3A776CB9…
#   == docs/closeout/L1_evidence/daily_roots.ORIGINAL.jsonl        ✅ 原始日根未被改动（见 ATTESTATION）
